Aisle ID,Product family,Items considered,Avg length (in),SD of length (in),Max length (in),Min length (in),Avg width  (in),SD of width (in),Max width (in),Min width (in),Avg height (in),SD of height (in),Max height (in),Min height (in),Avg weight (lbs),SD of weight (lbs),Max weight (lbs),Min weight (lbs),Avg price (USD),SD of price (USD),Max price (USD),Min price (USD)
115,Water seltzer sparkling water,25,12.5336,4.041785785,17.75,3.5,8.3436,2.762168351,14.0,2.5,6.002000000000001,1.019575075,8.0,4.17,11.244275,6.763786985,30.75,0.12625,24.40555556,11.51592605,49.99,5.39
116,Frozen produce,24,9.242083333,1.368092862,11.34,6.7,3.34,2.557168951,10.0,1.5,5.4625,2.363141332,11.42,1.38,1.070546875,0.763806065,3.99,0.065,3.69,2.569478979,13.99,1.69
117,Nuts seeds dried fruit,24,9.119583333,3.759185248,15.5,2.0,6.225833333,2.265813831,11.0,1.57,5.072083333,2.923678414,12.0,1.0,1.6276822919999998,1.322207341,5.4,0.0625,26.63727273,11.55001393,49.95,13.99
118,First aid,12,8.4525,3.742697435,16.22,3.25,8.878333332999999,3.495721627,13.25,2.88,6.25,4.554653964,14.25,1.25,2.041510417,1.882569106,5.64,0.03125,64.07571429,48.31788691,139.99,13.99
119,Frozen dessert,24,5.334166667,3.362879093,18.0,2.13,4.452083333,2.13824792,12.0,2.2,5.0816666669999995,1.903177359,8.63,1.97,1.527239583,2.592995424,12.0,0.051875,9.472272727,11.08964164,50.59,4.29
120,Yogurt,21,5.884761905,3.250476302,15.35,2.73,5.225238095,2.048491199,9.5,2.6,5.161428571,2.38298822,12.0,2.26,1.183541667,0.7735781140000001,2.08,0.049375,11.14368421,14.56254412,51.86,0.99
121,Cereal,25,6.1176,4.381214900000001,15.83,1.9,6.7464,2.95901149,13.0,2.0,9.5864,2.956767492,13.0,2.09,1.7358,2.067967843,10.0,0.575,6.448888889,8.123805211,27.92,2.69
122,Meat counter,19,9.154736842,6.872966664,32.0,1.02,5.087368421,3.800512892,18.0,1.35,4.4163157889999995,3.845125645,13.65,0.7,0.861315789,0.677812745,3.0,0.25,13.215,20.70675055,74.38,1.99
123,Packaged vegetables fruits,25,7.0492,3.5631656339999997,13.23,1.87,5.9244,2.035454658,10.12,1.97,5.6392,2.6813288369999997,14.17,1.85,1.764875,3.1918153439999997,15.6,0.021875,14.53285714,10.37429148,31.34,2.88
124,Spirits,1,13.03,,13.03,13.03,8.78,,8.78,8.78,5.47,,5.47,5.47,14.84,,14.84,14.84,84.99,#DIV/0!,84.99,84.99
125,Trail mix snack mix,5,8.232000000000001,3.0131329210000004,11.89,5.15,5.867999999999999,1.8899920630000002,7.78,3.25,4.618,2.647974698,9.13,2.78,1.6669999999999998,0.6680157179999999,2.2,0.875,9.86,7.083101957,19.83,4.6
126,Feminine care,25,5.0512,3.412174673,14.61,1.25,5.1116,2.738869414,11.93,1.65,5.9468,2.661243005,11.77,0.79,0.767025,1.085544687,5.14,0.0625,25.866,26.51147936,83.0,7.0
127,Body lotions soap,24,6.582083333,11.4450726,59.06,1.68,3.9579166669999997,2.014095933,8.8,1.97,6.0425,3.218907795,10.0,1.0,1.810416667,1.324148551,5.88,0.42,18.31333333,7.933565823,27.49,9.5
128,Tortillas flat bread,19,8.862631579,3.403808067,14.65,0.5,7.8789473679999995,2.5776472790000002,13.39,0.95,3.098421053,3.414993514,11.4,0.2,0.669473684,0.630329887,2.25,0.0025,12.509,6.74194573,21.99,2.99
129,Frozen appetizers sides,24,9.384166667,5.757494863,18.0,1.34,7.24375,3.5854340739999997,12.0,1.55,5.9770833329999995,2.399783467,9.5,1.25,3.6053125,4.96303398,12.0,0.065,28.35294118,33.5376646,101.19,1.99
130,Hot cereal pancake mixes,24,8.485416667,3.652626189,15.83,1.0,6.89875,2.423244883,11.77,1.0,5.370833332999999,1.909060585,9.0,1.0,1.5673697919999998,1.575910785,6.37,0.000625,27.68166667,18.61762758,58.72,4.97
131,Dry pasta,25,11.7972,4.591684985,20.0,1.0,6.5104,3.126152428,11.22,1.0,4.9252,2.3604186069999997,8.2,0.6,2.5632,3.353709536,12.0,0.000625,15.01230769,10.21596557,26.99,1.99
132,Beauty,20,4.1565,2.32282105,9.41,0.43,3.0060000000000002,1.546818126,7.28,0.65,3.562,2.199680838,7.95,0.63,0.26725,0.24436767199999998,0.9,0.013125,9.704,3.689827909,15.99,6.98
133,Muscles joints pain relief,25,3.6596,1.961926094,8.0,1.0,2.7012,1.4532931569999998,6.5,1.0,3.6488,2.117534573,7.5,1.0,0.342975,0.262651697,1.0,0.000625,22.8425,11.95585875,39.0,13.12
134,Specialty wines champagnes,11,10.84090909,4.54108237,17.4,4.0,6.120909091000001,2.914486077,13.1,3.7,3.4,2.73705316,7.4,0.12,2.166931818,3.212200332,10.6,0.06625,20.07875,8.490299402,34.69,10.63
