Aisle ID,Product family,Items considered,Avg length (in),SD of length (in),Max length (in),Min length (in),Avg width  (in),SD of width (in),Max width (in),Min width (in),Avg height (in),SD of height (in),Max height (in),Min height (in),Avg weight (lbs),SD of weight (lbs),Max weight (lbs),Min weight (lbs),Avg price (USD),SD of price (USD),Max price (USD),Min price (USD)
23,Popcorn jerky,87,9.942988506,7.520209688,33.37,0.39,7.926206897,7.242815725,33.37,0.39,6.266206897000001,8.150149127,33.37,0.5,0.629188218,0.720447182,5.8,0.05,21.4295,17.95312272,54.99,2.92
24,Fresh fruits,129,7.604728682,4.129262585,17.0,1.0,6.130775194,3.2981390619999997,17.0,1.0,4.521395349,3.581359672,17.0,1.0,2.423517442,3.841245781,20.0,0.000625,19.70494118,20.56601228,69.99,2.5
25,Soap,92,6.464782608999999,2.90370755,13.5,2.0,4.263804348,2.065773858,9.92,0.9,5.1186956519999995,2.5352166680000003,11.0,1.0,2.429599185,2.063559773,11.86,0.039375,19.18722222,15.74973867,65.95,2.99
26,Coffee,91,7.479120879,3.634617708,18.1,1.0,6.139010989,2.857966665,12.52,1.0,6.113296703,2.708368945,14.96,0.11,1.866758242,1.997406895,12.0,0.000625,32.26894737,21.64160959,78.95,12.95
27,Beers coolers,4,27.8,0.0,27.8,27.8,68.8,14.90123037,80.5,49.4,38.7,0.0,38.7,38.7,300.5,53.07541804,344.0,236.0,2431.0,501.0928058,2857.0,1888.0
28,Red wines,18,9.937777778,5.632736829,19.7,2.3,5.89,3.4815277239999998,14.8,1.5,5.69,2.87131042,11.7,0.75,2.6217708330000002,4.327636885,19.2,0.021875,29.40583333,29.92872091,99.0,2.99
29,Honeys syrups nectars,42,7.48452381,3.7780568,17.3,0.39,4.660952381,2.49244792,12.0,0.39,4.547857143,3.003645375,13.0,0.39,4.803125,8.53937101,44.0,0.5,21.95647059,11.69318976,43.44,5.29
30,Latino foods,40,9.479,12.14250973,78.74,0.73,7.5775,11.94742473,78.74,0.39,5.95025,12.07476145,78.74,1.0,1.0519375,0.883254038,3.52,0.0175,15.42333333,13.62042382,59.99,3.29
31,Refrigerated,32,27.42375,18.77389862,72.63,1.0,26.7409375,16.89092873,70.9,1.0,22.0703125,17.26900178,79.5,0.5,136.1294153,142.5400536,468.0,0.021875,1622.58871,1257.348334,5652.92,4.99
32,Packaged produce,58,7.17,2.84111357,15.1,1.7,4.554310345,2.781068905,13.89,1.45,6.303965517000001,3.586054833,15.25,0.75,0.98674569,1.146319505,5.89,0.000625,6.916511627999999,9.325239403,49.95,1.99
33,Kosher foods,64,8.39796875,4.365947298,17.68,1.0,6.41640625,2.830580942,14.0,1.0,4.2596875,2.4341818280000003,15.0,1.0,1.583759921,2.457492825,18.0,0.00875,30.66733333,71.91532971,406.49,2.49
34,Frozen meat seafood,27,8.947407407,4.013080145,18.0,0.7,7.204444444,3.34509208,14.0,0.8,5.367407407,3.815399558,14.0,1.0,1.898564815,2.148680574,9.75,0.15625,56.71315789,86.67259801,349.99,3.99
35,Poultry counter,15,7.525333333,3.4222671410000003,12.0,2.5,5.485333333,3.60753946,16.0,2.17,4.316666667,3.637755718,12.0,0.8,1.05525,1.2244159909999999,5.0,0.075,17.70153846,12.56060498,54.13,6.08
36,Butter,63,5.638095237999999,3.0831267419999997,16.8,1.0,4.48031746,2.440920614,13.2,1.0,3.91047619,2.182128606,13.11,1.0,1.536478175,3.10152071,22.95,0.000625,15.68,32.3877449,210.99,3.39
37,Ice cream ice,12,8.6125,4.225986975,15.4,2.83,6.3375,3.429118957,14.2,3.0,4.656666667,3.6791311560000004,14.2,0.87,4.421458333,8.827474006000001,32.0,0.33125,41.86,48.83594168,171.34,17.76
38,Frozen meals,47,5.730638298,3.8146356619999997,17.2,1.0,5.874042553,2.302673927,12.0,1.0,4.415957447,2.528198929,12.19,1.0,0.838218085,0.953738078,6.02,0.08125,5.873636363999999,1.799046376,10.99,2.96
39,Seafood counter,38,7.178947367999999,4.692892147,24.0,1.18,5.115,3.35739744,14.0,0.91,5.069473684,3.4724116919999997,14.5,1.5,1.4782638890000002,2.037792497,10.0,0.02,54.7625,83.61325297,338.99,1.99
40,Dog food care,33,17.16636364,7.090914882000001,25.0,2.0,11.71909091,4.159794439,16.5,4.13,7.133636364,5.21690151,27.63,3.0,14.57522727,11.75256819,30.28,0.175,48.17090909,26.50682688,110.99,6.76
41,Cat food care,64,14.22640625,6.878573211,24.48,0.7,9.63359375,4.0146333,16.0,1.0,6.18203125,4.691193093,23.0,1.45,8.727714844,5.177406146,22.0,0.12,42.48857143,14.68529228,104.99,12.94
42,Frozen vegan vegetarian,56,7.206607142999999,3.244138926,14.48,1.38,5.484107142999999,2.369716344,10.05,1.13,4.697678571,2.70291761,12.19,1.14,0.9716964290000001,1.906614826,11.1,0.076875,6.416458333,3.841607869,23.09,2.69
43,Buns rolls,29,8.208965517000001,4.476473696,22.0,2.83,5.887931034,3.029211801,16.12,2.0,4.22,2.7905887760000003,10.0,0.39,0.7883035709999999,0.728420588,3.0,0.004375,16.6672,10.8896149,42.5,3.29
44,Eye ear care,39,4.693333333,3.757066558,15.75,0.25,4.170512821,3.730224312,15.75,0.51,3.715128205,3.127659182,11.81,0.12,0.273878205,0.30522209899999997,1.26,0.000625,18.41571429,14.90092902,49.99,6.23
45,Candy chocolate,73,8.413424658,4.248827361,17.01,0.5,6.676027397,3.2719331439999997,18.1,0.13,4.812054795,3.249019065,15.25,0.5,2.02760274,1.718435274,9.0,0.0625,19.88068182,10.51751991,39.99,6.99
